sim_hours,sim_time,mass_percent_error
0.0,0:00:00,0.0
0.0833,0:05:00,0.01
0.1667,0:10:00,0.02
0.25,0:15:00,0.03
0.3333,0:20:00,0.03
0.4167,0:25:00,0.04
0.5,0:30:00,0.05
0.5833,0:35:00,0.05
0.6667,0:40:00,0.05
0.75,0:45:00,0.06
0.8333,0:50:00,0.06
0.9167,0:55:00,0.06
1.0,1:00:00,0.06
1.0833,1:05:00,0.06
1.1667,1:10:00,0.06
1.25,1:15:00,0.06
1.3333,1:20:00,0.07
1.4167,1:25:00,0.07
1.5,1:30:00,0.07
1.5833,1:35:00,0.06
1.6667,1:40:00,0.06
1.75,1:45:00,0.06
1.8333,1:50:00,0.05
1.9167,1:55:00,0.04
2.0,2:00:00,0.04
2.0833,2:05:00,0.03
2.1667,2:10:00,0.03
2.25,2:15:00,0.02
2.3333,2:20:00,0.02
2.4167,2:25:00,0.01
2.5,2:30:00,-0.0
2.5833,2:35:00,-0.01
2.6667,2:40:00,-0.02
2.75,2:45:00,-0.02
2.8333,2:50:00,-0.03
2.9167,2:55:00,-0.03
3.0,3:00:00,-0.04
3.0833,3:05:00,-0.05
3.1667,3:10:00,-0.05
3.25,3:15:00,-0.06
3.3333,3:20:00,-0.07
3.4167,3:25:00,-0.08
3.5,3:30:00,-0.09
3.5833,3:35:00,-0.1
3.6667,3:40:00,-0.1
3.75,3:45:00,-0.11
3.8333,3:50:00,-0.11
3.9167,3:55:00,-0.12
4.0,4:00:00,-0.12
4.0833,4:05:00,-0.12
4.1667,4:10:00,-0.12
4.25,4:15:00,-0.12
4.3333,4:20:00,-0.12
4.4167,4:25:00,-0.12
4.5,4:30:00,-0.13
4.5833,4:35:00,-0.14
4.6667,4:40:00,-0.15
4.75,4:45:00,-0.15
4.8333,4:50:00,-0.16
4.9167,4:55:00,-0.16
5.0,5:00:00,-0.17
5.0833,5:05:00,-0.18
5.1667,5:10:00,-0.19
5.25,5:15:00,-0.19
5.3333,5:20:00,-0.2
5.4167,5:25:00,-0.21
5.5,5:30:00,-0.21
5.5833,5:35:00,-0.21
5.6667,5:40:00,-0.22
5.75,5:45:00,-0.23
5.8333,5:50:00,-0.23
5.9167,5:55:00,-0.24
6.0,6:00:00,-0.24
6.0833,6:05:00,-0.25
6.1667,6:10:00,-0.26
6.25,6:15:00,-0.27
6.3333,6:20:00,-0.28
6.4167,6:25:00,-0.28
6.5,6:30:00,-0.29
6.5833,6:35:00,-0.3
6.6667,6:40:00,-0.3
6.75,6:45:00,-0.31
6.8333,6:50:00,-0.32
6.9167,6:55:00,-0.33
7.0,7:00:00,-0.33
7.0833,7:05:00,-0.34
7.1667,7:10:00,-0.34
7.25,7:15:00,-0.35
7.3333,7:20:00,-0.37
7.4167,7:25:00,-0.37
7.5,7:30:00,-0.37
7.5833,7:35:00,-0.38
7.6667,7:40:00,-0.38
7.75,7:45:00,-0.39
7.8333,7:50:00,-0.39
7.9167,7:55:00,-0.39
8.0,8:00:00,-0.39
8.0833,8:05:00,-0.4
8.1667,8:10:00,-0.4
8.25,8:15:00,-0.4
8.3333,8:20:00,-0.41
8.4167,8:25:00,-0.42
8.5,8:30:00,-0.42
8.5833,8:35:00,-0.43
8.6667,8:40:00,-0.44
8.75,8:45:00,-0.44
8.8333,8:50:00,-0.45
8.9167,8:55:00,-0.45
9.0,9:00:00,-0.45
9.0833,9:05:00,-0.45
9.1667,9:10:00,-0.46
9.25,9:15:00,-0.47
9.3333,9:20:00,-0.47
9.4167,9:25:00,-0.47
9.5,9:30:00,-0.47
9.5833,9:35:00,-0.47
9.6667,9:40:00,-0.47
9.75,9:45:00,-0.47
9.8333,9:50:00,-0.47
9.9167,9:55:00,-0.46
10.0,10:00:00,-0.46
10.0833,10:05:00,-0.47
10.1667,10:10:00,-0.48
10.25,10:15:00,-0.48
10.3333,10:20:00,-0.48
10.4167,10:25:00,-0.48
10.5,10:30:00,-0.48
10.5833,10:35:00,-0.48
10.6667,10:40:00,-0.48
10.75,10:45:00,-0.49
10.8333,10:50:00,-0.5
10.9167,10:55:00,-0.49
11.0,11:00:00,-0.49
11.0833,11:05:00,-0.5
11.1667,11:10:00,-0.49
11.25,11:15:00,-0.49
11.3333,11:20:00,-0.49
11.4167,11:25:00,-0.47
11.5,11:30:00,-0.47
11.5833,11:35:00,-0.48
11.6667,11:40:00,-0.48
11.75,11:45:00,-0.48
11.8333,11:50:00,-0.48
11.9167,11:55:00,-0.48
12.0,12:00:00,-0.48
12.0833,12:05:00,-0.49
12.1667,12:10:00,-0.46
12.25,12:15:00,-0.44
12.3333,12:20:00,-0.44
12.4167,12:25:00,-0.43
12.5,12:30:00,-0.42
12.5833,12:35:00,-0.42
12.6667,12:40:00,-0.43
12.75,12:45:00,-0.43
12.8333,12:50:00,-0.45
12.9167,12:55:00,-0.46
13.0,13:00:00,-0.44
13.0833,13:05:00,-0.42
13.1667,13:10:00,-0.41
13.25,13:15:00,-0.4
13.3333,13:20:00,-0.38
13.4167,13:25:00,-0.34
13.5,13:30:00,-0.32
13.5833,13:35:00,-0.32
13.6667,13:40:00,-0.31
13.75,13:45:00,-0.29
13.8333,13:50:00,-0.26
13.9167,13:55:00,-0.24
14.0,14:00:00,-0.25
14.0833,14:05:00,-0.25
14.1667,14:10:00,-0.23
14.25,14:15:00,-0.23
14.3333,14:20:00,-0.24
14.4167,14:25:00,-0.26
14.5,14:30:00,-0.24
14.5833,14:35:00,-0.22
14.6667,14:40:00,-0.2
14.75,14:45:00,-0.2
14.8333,14:50:00,-0.19
14.9167,14:55:00,-0.17
15.0,15:00:00,-0.16
15.0833,15:05:00,-0.13
15.1667,15:10:00,-0.1
15.25,15:15:00,-0.08
15.3333,15:20:00,-0.05
15.4167,15:25:00,-0.03
15.5,15:30:00,-0.03
15.5833,15:35:00,-0.03
15.6667,15:40:00,-0.03
15.75,15:45:00,-0.03
15.8333,15:50:00,-0.03
15.9167,15:55:00,-0.01
16.0,16:00:00,-0.01
16.0833,16:05:00,0.0
16.1667,16:10:00,-0.0
16.25,16:15:00,-0.01
16.3333,16:20:00,-0.01
16.4167,16:25:00,0.01
16.5,16:30:00,0.02
16.5833,16:35:00,0.01
16.6667,16:40:00,0.01
16.75,16:45:00,0.01
16.8333,16:50:00,0.04
16.9167,16:55:00,0.07
17.0,17:00:00,0.1
17.0833,17:05:00,0.08
17.1667,17:10:00,0.07
17.25,17:15:00,0.09
17.3333,17:20:00,0.1
17.4167,17:25:00,0.11
17.5,17:30:00,0.13
17.5833,17:35:00,0.16
17.6667,17:40:00,0.2
17.75,17:45:00,0.26
17.8333,17:50:00,0.32
17.9167,17:55:00,0.34
18.0,18:00:00,0.37
18.0833,18:05:00,0.4
18.1667,18:10:00,0.42
18.25,18:15:00,0.46
18.3333,18:20:00,0.5
18.4167,18:25:00,0.51
18.5,18:30:00,0.5
18.5833,18:35:00,0.52
18.6667,18:40:00,0.54
18.75,18:45:00,0.54
18.8333,18:50:00,0.55
18.9167,18:55:00,0.6
19.0,19:00:00,0.64
19.0833,19:05:00,0.68
19.1667,19:10:00,0.74
19.25,19:15:00,0.78
19.3333,19:20:00,0.81
19.4167,19:25:00,0.84
19.5,19:30:00,0.89
19.5833,19:35:00,0.93
19.6667,19:40:00,0.95
19.75,19:45:00,0.95
19.8333,19:50:00,0.97
19.9167,19:55:00,1.0
20.0,20:00:00,1.05
20.0833,20:05:00,1.1
20.1667,20:10:00,1.13
20.25,20:15:00,1.17
20.3333,20:20:00,1.24
20.4167,20:25:00,1.29
20.5,20:30:00,1.32
20.5833,20:35:00,1.35
20.6667,20:40:00,1.39
20.75,20:45:00,1.42
20.8333,20:50:00,1.44
20.9167,20:55:00,1.46
21.0,21:00:00,1.48
21.0833,21:05:00,1.51
21.1667,21:10:00,1.52
21.25,21:15:00,1.53
21.3333,21:20:00,1.52
21.4167,21:25:00,1.5
21.5,21:30:00,1.49
21.5833,21:35:00,1.48
21.6667,21:40:00,1.47
21.75,21:45:00,1.46
21.8333,21:50:00,1.45
21.9167,21:55:00,1.42
22.0,22:00:00,1.42
22.0833,22:05:00,1.45
22.1667,22:10:00,1.48
22.25,22:15:00,1.5
22.3333,22:20:00,1.52
22.4167,22:25:00,1.53
22.5,22:30:00,1.56
22.5833,22:35:00,1.57
22.6667,22:40:00,1.6
22.75,22:45:00,1.63
22.8333,22:50:00,1.65
22.9167,22:55:00,1.66
23.0,23:00:00,1.66
23.0833,23:05:00,1.69
23.1667,23:10:00,1.7
23.25,23:15:00,1.72
23.3333,23:20:00,1.73
23.4167,23:25:00,1.74
23.5,23:30:00,1.75
23.5833,23:35:00,1.75
23.6667,23:40:00,1.74
23.75,23:45:00,1.78
23.8333,23:50:00,1.82
23.9167,23:55:00,1.84
24.0,24:00:00,1.86
